From;To;Similarity
0;54;0,000241774241481813;
0;75;0,001135711821106838;
0;199;0,00012182853186625052;
1;2;1;
1;3;1;
2;3;1;
5;6;1;
17;20;1;
17;102;0,0002833239224543571;
17;138;0,004253402951824005;
18;20;1;
18;24;1;
20;24;1;
23;25;1;
27;102;0,0027733575013943117;
27;169;0,023003463203463203;
29;32;0,0033087719298245614;
29;43;0,004533700480192078;
29;44;0,003446470588235294;
29;45;0,0033087719298245614;
29;47;0,0011808198139736101;
29;54;0,006340278035534198;
29;60;0,0025064157098939705;
29;66;0,004453090000563917;
29;75;0,0033068706879301113;
29;90;0,0004966217430368373;
29;115;0,0012864284921492491;
29;188;0,0018905847953216374;
29;199;0,0008393915343915344;
29;217;0,0030570893395483376;
32;44;1;
32;45;1;
43;54;0,05195299766753484;
43;75;0,005354316926129056;
43;77;0,005898956178274656;
43;102;0,0004319834581542389;
43;164;0,0640497719915509;
43;181;0,008373214075196799;
43;202;0,019257656387172296;
43;213;0,004149670767801766;
43;217;0,01283648581069605;
44;45;1;
47;51;0,12473;
47;60;0,001116120218579235;
47;66;0,0008152119883040936;
47;115;0,0003342791712575885;
47;188;0,002083913043478261;
47;199;0,0006313756613756614;
49;55;1;
54;75;0,005447046287901391;
54;77;0,0015067595817330284;
54;90;0,0029906726747468905;
54;102;0,009694577550401859;
54;127;0,0006618753547833552;
54;136;0,003365339646698844;
54;138;0,006732019708433035;
54;146;0,005984838299674812;
54;162;0,0006565762123728656;
54;164;0,011218333550814147;
54;167;0,008098034902136906;
54;195;0,006271784632046915;
54;199;0,0003420509896199888;
54;202;0,04127756294093899;
54;213;0,014687503688336677;
54;217;0,0033135925928996996;
58;62;0,0020707408903132165;
58;75;0,0019282892348284587;
58;77;0,0035313995981910147;
58;88;0,0016985281534641096;
58;133;0,002018901914623766;
58;164;0,010459617781470924;
58;175;0,016568062608590218;
58;209;0,0028379440677701205;
58;213;0,0023423739769668646;
58;217;0,01472251265601285;
60;62;0,003910580524737448;
60;66;0,0028893686328286252;
60;90;0,000948561061285671;
60;115;0,0006692296918767505;
60;170;0,000505503819065958;
60;188;0,0021229824561403506;
60;199;0,0006669696969696969;
62;68;0,0029427341652803972;
62;75;0,0003367628015019204;
62;77;0,002439121852293309;
62;88;0,0016581636642938138;
62;90;0,002886723659179089;
62;102;0,005548114062635994;
62;127;0,0009553000960567663;
62;133;0,003474716456524078;
62;164;0,0038159038622438126;
62;167;0,006111897447567035;
62;170;0,0005569064645732256;
62;209;0,005206375818060625;
62;213;0,020038194025492808;
62;217;0,014143166812864122;
66;69;0,01413928282978413;
66;70;0,09910000000000001;
66;73;0,01758426464337488;
66;74;0,0899590909090909;
66;75;0,005834949991252031;
66;77;0,005021927360518773;
66;80;0,08994909090909091;
66;83;0,013243674948240164;
66;84;0,08998909090909091;
66;87;0,006573047830722251;
66;88;0,006947366627412119;
66;89;0,00691267524142524;
66;92;0,006227107106457755;
66;93;0,0057590273556231;
66;94;0,00691267524142524;
66;95;0,005412380952380952;
66;96;0,023069523809523807;
66;97;0,09910000000000001;
66;115;0,012051566020671388;
66;160;0,007191286367953035;
66;188;0,0019379796578825705;
66;199;0,016557388696546885;
67;78;1;
68;69;0,06359793178354849;
68;73;0,011229738150618188;
68;75;0,01678442303026839;
68;88;0,0042632667854572365;
68;102;0,0012688416747333791;
69;73;0,04814129432272472;
69;80;0,017363859649122806;
69;84;0,017403859649122805;
69;88;0,02078950133677053;
69;97;0,017443859649122807;
69;157;0,013696383490972523;
73;75;0,012430859110877891;
73;80;0,029201764705882354;
73;83;0,006690196078431373;
73;84;0,029221764705882353;
73;88;0,010764116650687473;
73;93;0,006921232757684371;
73;95;0,006931232757684371;
73;96;0,02364478983382209;
73;97;0,030143030303030303;
74;87;1;
74;89;1;
74;92;1;
74;94;1;
75;77;0,005860669419971636;
75;88;0,05557346915625366;
75;90;0,005662901143541696;
75;102;0,008014032183875306;
75;127;0,00011537612127224348;
75;133;0,005629614963647226;
75;136;0,005861261977515229;
75;138;0,0027749082376349508;
75;146;0,0008132614909132623;
75;164;0,009042060073901795;
75;202;0,00732503794496664;
75;209;0,002459054346915739;
75;213;0,011684252990408005;
75;217;0,01819967697278274;
77;88;0,002065044053961822;
77;90;0,00585462326660419;
77;102;0,00836018812509566;
77;133;0,0007964500744738769;
77;164;0,003891126244116636;
77;181;0,0005947483202669657;
77;202;0,0004141618962504773;
77;209;0,001168076385517861;
77;213;0,0016623430026252183;
77;217;0,004270623133757924;
83;88;0,00223190277905927;
83;93;1;
83;95;1;
83;96;0,49995;
87;89;1;
87;92;1;
87;94;1;
88;90;0,0006466777816146923;
88;102;0,0009276924635715269;
88;127;0,0019517881514735866;
88;133;0,012204617369978625;
88;136;0,00021024534619483817;
88;157;0,002793375882644285;
88;164;0,002181148950274736;
88;169;0,0030879328410432804;
88;175;0,005457020440378111;
88;202;0,0003141135772669499;
88;209;0,004631183973370002;
88;213;0,005376796394475371;
88;217;0,008564182026039063;
89;92;1;
89;94;1;
